Title,Content,Published At,Source,URL,Category,clean_text,message_channel
ФРС США: Штаты не могут позволить себе наращивать госдолг.,"ФРС США: Штаты не могут позволить себе наращивать госдолг.

Председатель Федеральной резервной системы Джером Пауэлл заявил что путь, которым идет государство, неприемлем. В долгосрочной перспективе он ведет в ад и лучше бы начать что-то принимать сейчас. За время президентства Байдена госдолг США вырос с $28 триллионов  в 2021 году до $34,5 в 2024.

И только к концу президентства Байдена ФРС, МВФ и Минфин США начали говорить о проблеме с долгом. Все к выборам Трампа, которому эту проблему сбагрят а потом обвинят в том, что он с долгом ничего не делает и выдвинут импичмент. Методы демократов не меняются годами. Точно также, в 2016 на Трампа спихивали войну в Афганистане доведя ее до крайней точки.",2024-07-03T19:12:01+00:00,КБ. экономика,https://t.me/cb_economics/3887,экономика,фрс сша штаты могут позволить наращивать госдолг председатель федеральной резервной системы джером пауэлл заявил путь которым идет государство неприемлем долгосрочной перспективе ведет ад начать чтото принимать время президентства байдена госдолг сша вырос 28 триллионов 2021 году 345 2024 концу президентства байдена фрс мвф минфин сша начали говорить проблеме долгом выборам трампа которому проблему сбагрят обвинят долгом делает выдвинут импичмент методы демократов меняются годами точно также 2016 трампа спихивали войну афганистане доведя крайней точки,фрс сша штаты могут позволить наращивать госдолг председатель федеральной резервной системы джером пауэлл заявил путь которым идет государство неприемлем долгосрочной перспективе ведет ад начать чтото принимать время президентства байдена госдолг сша вырос 28 триллионов 2021 году 345 2024 концу президентства байдена фрс мвф минфин сша начали говорить проблеме долгом выборам трампа которому проблему сбагрят обвинят долгом делает выдвинут импичмент методы демократов меняются годами точно также 2016 трампа спихивали войну афганистане доведя крайней точки КБ. экономика
Банк России: Сертификация стейблкоинов для международной торговли находится в финальной стадии.,"Банк России: Сертификация стейблкоинов для международной торговли находится в финальной стадии.

Зампред ЦБ Алексей Гузнов заявил что понимание механизма работы уже формируется и совсем скоро оно должно вылиться в реальные законопроекты. Причем не исключено что законопроекты будут не в формате эксперимента а сразу как постоянно действующие нормы.

Сделки со стейблкоинами будет трудно отслеживать регуляторам третьих стран, и большинство их эмитентов не слишком охотно реагирует на запросы о блокировке.",2024-07-03T17:14:00+00:00,КБ. экономика,https://t.me/cb_economics/3886,экономика,банк россии сертификация стейблкоинов международной торговли находится финальной стадии зампред цб алексей гузнов заявил понимание механизма работы формируется скоро оно должно вылиться реальные законопроекты причем исключено законопроекты будут формате эксперимента сразу постоянно действующие нормы сделки стейблкоинами трудно отслеживать регуляторам третьих стран большинство эмитентов слишком охотно реагирует запросы блокировке,банк россии сертификация стейблкоинов международной торговли находится финальной стадии зампред цб алексей гузнов заявил понимание механизма работы формируется скоро оно должно вылиться реальные законопроекты причем исключено законопроекты будут формате эксперимента сразу постоянно действующие нормы сделки стейблкоинами трудно отслеживать регуляторам третьих стран большинство эмитентов слишком охотно реагирует запросы блокировке КБ. экономика
"Поставки российской нефти в Индию установили исторический рекорд - 2,13 миллиона баррелей в сутки.","Поставки российской нефти в Индию установили исторический рекорд - 2,13 миллиона баррелей в сутки.

Больше было лишь раз - 2,15 миллиона баррелей, но тогда, была проблема с рупиями. Сейчас их нет, и по сравнению с маем, экспорт нефти увеличился на 2%. Особенно марки Urals - эта нефть лучше приспособлена к индийским НПЗ и ее поставки подросли на 13%. 

Причиной роста морских поставок называют окончание технического обслуживания на крупных экспортных терминалах.",2024-07-03T16:13:24+00:00,КБ. экономика,https://t.me/cb_economics/3885,экономика,поставки российской нефти индию установили исторический рекорд 213 миллиона баррелей сутки лишь 215 миллиона баррелей проблема рупиями сравнению маем экспорт нефти увеличился 2 особенно марки urals эта нефть приспособлена индийским нпз поставки подросли 13 причиной роста морских поставок называют окончание технического обслуживания крупных экспортных терминалах,поставки российской нефти индию установили исторический рекорд 213 миллиона баррелей сутки лишь 215 миллиона баррелей проблема рупиями сравнению маем экспорт нефти увеличился 2 особенно марки urals эта нефть приспособлена индийским нпз поставки подросли 13 причиной роста морских поставок называют окончание технического обслуживания крупных экспортных терминалах КБ. экономика
"Доля БРИКС в мировом ВВП по итогам 2023 года достигла рекордных 35,7%.","Доля БРИКС в мировом ВВП по итогам 2023 года достигла рекордных 35,7%.

За год, БРИКС набрал 0,6%, а с момента создания блока в 2006м - 10,2%. Одновременно, доля G7 упала до минимального за 29 лет значения - 29%, сократившись за год на 0,4%. С 2006 года доля ""семерки"" сократилась на 9,7 процентного пункта.

На остальные страны в прошлом году пришлось 35,3 процента мирового выпуска — их доля с 1990 года в целом остается стабильной, колеблясь в пределах одного процентного пункта.",2024-07-03T15:13:46+00:00,КБ. экономика,https://t.me/cb_economics/3884,экономика,доля брикс мировом ввп итогам 2023 года достигла рекордных 357 год брикс набрал 06 момента создания блока 2006м 102 одновременно доля g7 упала минимального 29 лет значения 29 сократившись год 04 2006 года доля семерки сократилась 97 процентного пункта остальные страны прошлом году пришлось 353 процента мирового выпуска доля 1990 года целом остается стабильной колеблясь пределах одного процентного пункта,доля брикс мировом ввп итогам 2023 года достигла рекордных 357 год брикс набрал 06 момента создания блока 2006м 102 одновременно доля g7 упала минимального 29 лет значения 29 сократившись год 04 2006 года доля семерки сократилась 97 процентного пункта остальные страны прошлом году пришлось 353 процента мирового выпуска доля 1990 года целом остается стабильной колеблясь пределах одного процентного пункта КБ. экономика
"После льготной ипотеки рынок еще пару лет будет «болеть», спрогнозировал глава Сбера Герман Греф","После льготной ипотеки рынок еще пару лет будет «болеть», спрогнозировал глава Сбера Герман Греф

В рамках выступления на Финансовом конгрессе ЦБ в Санкт-Петербурге Греф отметил, что, несмотря на временную дестабилизацию ситуации, драматических последствий на рынке ожидать не стоит. При этом глава компании подчеркнул, что необходимо было выходить из программы льготной ипотеки сейчас, иначе дальше было бы сложнее.",2024-07-03T14:12:03+00:00,КБ. экономика,https://t.me/cb_economics/3883,экономика,льготной ипотеки рынок пару лет болеть спрогнозировал глава сбера герман греф рамках выступления финансовом конгрессе цб санктпетербурге греф отметил несмотря временную дестабилизацию ситуации драматических последствий рынке ожидать стоит глава компании подчеркнул необходимо выходить программы льготной ипотеки иначе дальше сложнее,льготной ипотеки рынок пару лет болеть спрогнозировал глава сбера герман греф рамках выступления финансовом конгрессе цб санктпетербурге греф отметил несмотря временную дестабилизацию ситуации драматических последствий рынке ожидать стоит глава компании подчеркнул необходимо выходить программы льготной ипотеки иначе дальше сложнее КБ. экономика
ФАС выдала предупреждение операторам за взимание дополнительной платы в Крыму.,"ФАС выдала предупреждение операторам за взимание дополнительной платы в Крыму.

МТС, ""Мегафон"" и ""Билайн"" получили предупреждение за взимание дополнительной платы при нахождении абонента в Крыму и Севастополе,  с 1 января 2024 года для операторов связи созданы условия для оказания услуг без взимания дополнительных плат, однако операторы продолжают взимать оплату как в роуминге, теперь с этим будет покончено. 

ФАС, красавчики.",2024-07-03T13:12:01+00:00,КБ. экономика,https://t.me/cb_economics/3882,экономика,фас выдала предупреждение операторам взимание дополнительной платы крыму мтс мегафон билайн получили предупреждение взимание дополнительной платы нахождении абонента крыму севастополе 1 января 2024 года операторов связи созданы условия оказания услуг взимания дополнительных плат однако операторы продолжают взимать оплату роуминге этим покончено фас красавчики,фас выдала предупреждение операторам взимание дополнительной платы крыму мтс мегафон билайн получили предупреждение взимание дополнительной платы нахождении абонента крыму севастополе 1 января 2024 года операторов связи созданы условия оказания услуг взимания дополнительных плат однако операторы продолжают взимать оплату роуминге этим покончено фас красавчики КБ. экономика
Запад продолжает  закидывать деньгами Украину,"Запад продолжает  закидывать деньгами Украину

Страны НАТО договорились предоставить Украине €40 млрд военной помощи в 2025 г — на минуточку, это половина бюджета всей страны.

Кроме этого, МВФ отправил деньги на зарплаты бюджетникам на Украине.  Украина получила $2,2 млрд от МВФ. Это часть средств, предусмотренных программой EFF объемом $16 млрд, я сумма поможет правительству в финансировании критических расходов бюджета, социальных пособий, зарплат медиков и учителей.

Общий объем внешнего финансирования Украины составляет $122 млрд в базовом варианте и $141 млрд в перспективном варианте в течение четырехлетнего периода программы кредитования.",2024-07-03T11:12:01+00:00,КБ. экономика,https://t.me/cb_economics/3881,экономика,запад продолжает закидывать деньгами украину страны нато договорились предоставить украине 40 млрд военной помощи 2025 г минуточку это половина бюджета всей страны кроме мвф отправил деньги зарплаты бюджетникам украине украина получила 22 млрд мвф это часть средств предусмотренных программой eff объемом 16 млрд сумма поможет правительству финансировании критических расходов бюджета социальных пособий зарплат медиков учителей общий объем внешнего финансирования украины составляет 122 млрд базовом варианте 141 млрд перспективном варианте течение четырехлетнего периода программы кредитования,запад продолжает закидывать деньгами украину страны нато договорились предоставить украине 40 млрд военной помощи 2025 г минуточку это половина бюджета всей страны кроме мвф отправил деньги зарплаты бюджетникам украине украина получила 22 млрд мвф это часть средств предусмотренных программой eff объемом 16 млрд сумма поможет правительству финансировании критических расходов бюджета социальных пособий зарплат медиков учителей общий объем внешнего финансирования украины составляет 122 млрд базовом варианте 141 млрд перспективном варианте течение четырехлетнего периода программы кредитования КБ. экономика
"Как и предполагал, Кабмин внес существенные правки в налоговую реформу в рамках II чтения изменения налогового законодательства:","Как и предполагал, Кабмин внес существенные правки в налоговую реформу в рамках II чтения изменения налогового законодательства:

- Ставку налога на прибыль для IT компаний все же оставят на уровне 5% до 2030 года.
- Регионы будут иметь право самостоятельно вносить пониженные ставки на прибыль в региональный бюджет для всех организаций.
- Плательщики УСН с доходами до 60 миллионов освобождены от уплаты НДС.
- Вместо ""курортного сбора"" появится ""туристический налог"" - им регионы будут заниматься самостоятельно, могут вводить, могут не вводить, но начать должны со ставки в 1%.
- В вопросе НДФЛ, на цифровые активы и ценные бумаги, ставку планируют не поднимать выше 15%.
- Налоговый вычет по НДФЛ за сдачу ГТО увеличивается до 18 000 руб.
- Для владельцев пяти и более контролируемых иностранных компаний устанавливается единый размер фиксированного НДФЛ в сумме 25 млн руб.
- Усовершенствован механизм уплаты пошлин на медицинский спирт чтобы это не привело к подорожанию лекарств.
- Скорректированы параметры НДПИ на добычу ресурсов.
- Процессинговые центры букмекеров будут обложены тройным налогом.",2024-07-03T10:12:01+00:00,КБ. экономика,https://t.me/cb_economics/3880,экономика,предполагал кабмин внес существенные правки налоговую реформу рамках ii чтения изменения налогового законодательства ставку налога прибыль компаний оставят уровне 5 2030 года регионы будут иметь право самостоятельно вносить пониженные ставки прибыль региональный бюджет организаций плательщики усн доходами 60 миллионов освобождены уплаты ндс вместо курортного сбора появится туристический налог регионы будут заниматься самостоятельно могут вводить могут вводить начать должны ставки 1 вопросе ндфл цифровые активы ценные бумаги ставку планируют поднимать выше 15 налоговый вычет ндфл сдачу гто увеличивается 18 000 руб владельцев пяти контролируемых иностранных компаний устанавливается единый размер фиксированного ндфл сумме 25 млн руб усовершенствован механизм уплаты пошлин медицинский спирт это привело подорожанию лекарств скорректированы параметры ндпи добычу ресурсов процессинговые центры букмекеров будут обложены тройным налогом,предполагал кабмин внес существенные правки налоговую реформу рамках ii чтения изменения налогового законодательства ставку налога прибыль компаний оставят уровне 5 2030 года регионы будут иметь право самостоятельно вносить пониженные ставки прибыль региональный бюджет организаций плательщики усн доходами 60 миллионов освобождены уплаты ндс вместо курортного сбора появится туристический налог регионы будут заниматься самостоятельно могут вводить могут вводить начать должны ставки 1 вопросе ндфл цифровые активы ценные бумаги ставку планируют поднимать выше 15 налоговый вычет ндфл сдачу гто увеличивается 18 000 руб владельцев пяти контролируемых иностранных компаний устанавливается единый размер фиксированного ндфл сумме 25 млн руб усовершенствован механизм уплаты пошлин медицинский спирт это привело подорожанию лекарств скорректированы параметры ндпи добычу ресурсов процессинговые центры букмекеров будут обложены тройным налогом КБ. экономика
Crocs выпустили свои первые полноценные кроссовки Pollex Juniper.,"Crocs выпустили свои первые полноценные кроссовки Pollex Juniper.

Всю партию раскупили всего за час перекупы, сейчас кроссовки продаются интернете по цене от 18 000 до 100 000 тысяч рублей. 

Покупатели уже заявили, что это самая удобная обувь на свете, которая ощущается как мягкие тапочки.",2024-07-03T09:12:01+00:00,КБ. экономика,https://t.me/cb_economics/3871,экономика,crocs выпустили свои первые полноценные кроссовки pollex juniper партию раскупили час перекупы кроссовки продаются интернете цене 18 000 100 000 тысяч рублей покупатели заявили это самая удобная обувь свете которая ощущается мягкие тапочки,crocs выпустили свои первые полноценные кроссовки pollex juniper партию раскупили час перекупы кроссовки продаются интернете цене 18 000 100 000 тысяч рублей покупатели заявили это самая удобная обувь свете которая ощущается мягкие тапочки КБ. экономика
Reuters: не все страны ЕС одобряют введение пошлин на китайские электрокары.,"Reuters: не все страны ЕС одобряют введение пошлин на китайские электрокары.

Против введения дополнительных тарифов на импорт электромобилей из КНР в размере до 37,6% выступают Германия, Венгрия, Норвегия и Швеция — страны производители авто + шведы, которые ха либеральный рынок авто, именно они получат максимальный ущерб от санкций, ведение тарифов поддерживают Испания, Италия и Франция,  также автопроизводители, но по ""случайному""стечению обстоятельств, их машины никому не нужны за пределами ЕС, закон о пошлинах на китайские авто становится битвой между автопроизводителями второго эшелона и дем партией США против автопроизводителей которые или экспортируют свои авто в Китай, или хотят свободного рынка. 

Что победит в ЕС — свободный рынок или дем партия, узнаем уже в этом месяце.",2024-07-03T08:30:11+00:00,КБ. экономика,https://t.me/cb_economics/3870,экономика,reuters страны ес одобряют введение пошлин китайские электрокары против введения дополнительных тарифов импорт электромобилей кнр размере 376 выступают германия венгрия норвегия швеция страны производители авто шведы которые ха либеральный рынок авто именно получат максимальный ущерб санкций ведение тарифов поддерживают испания италия франция также автопроизводители случайномустечению обстоятельств машины никому нужны пределами ес закон пошлинах китайские авто становится битвой автопроизводителями второго эшелона дем партией сша против автопроизводителей которые экспортируют свои авто китай хотят свободного рынка победит ес свободный рынок дем партия узнаем месяце,reuters страны ес одобряют введение пошлин китайские электрокары против введения дополнительных тарифов импорт электромобилей кнр размере 376 выступают германия венгрия норвегия швеция страны производители авто шведы которые ха либеральный рынок авто именно получат максимальный ущерб санкций ведение тарифов поддерживают испания италия франция также автопроизводители случайномустечению обстоятельств машины никому нужны пределами ес закон пошлинах китайские авто становится битвой автопроизводителями второго эшелона дем партией сша против автопроизводителей которые экспортируют свои авто китай хотят свободного рынка победит ес свободный рынок дем партия узнаем месяце КБ. экономика
